Address,Minted,Cost Per Slothty,Total Cost,IDs
0xfE63DB3C2C4369CeDE36017C487836DD561ea778,12,249,2988,"[4289, 4476, 3417, 1428, 7930, 5359, 4583, 1863, 4963, 1605, 5420, 861]"
0x1bABaC96438F52bd93f54226b4735002D82a3864,10,289,2890,"[1884, 5314, 3729, 119, 3448, 5747, 2141, 8303, 2575, 8760]"
0xBd2b15E459821b1A76561D34dbc972d848d1B628,14,252.57,3536,"[2084, 3650, 3932, 3293, 7330, 6749, 1553, 1366, 3737, 2158, 6093, 2274, 8715, 161]"
0x87dEEBFE33Bf8b2EFe40A6D6acd562C763d46174,11,249,2739,"[6484, 2218, 7648, 1736, 5253, 4358, 4847, 2790, 6483, 5908, 1047]"
0xFF773C82CE3f199bcab3Fb90d1959Cba50d73DfE,11,249,2739,"[2091, 4645, 4720, 7036, 5013, 2700, 4327, 648, 1847, 196, 6167]"
0x39Bff2637b5AD19713fC5df6Ae3736eeD041D0F3,9,299,2691,"[8016, 3526, 6720, 2521, 3323, 1199, 1167, 3576, 2611]"
0x832B667DA917aA2e225719d1451E7482C84682B1,9,282.33,2541,"[4952, 1692, 3304, 6498, 4679, 5275, 2743, 8842, 8307]"
0x21d8b3A3096a7B0D17DBb9B202F596CE90387152,10,249,2490,"[8790, 1387, 2202, 3953, 4374, 1399, 4770, 3955, 8057, 8251]"
0x29Ad04C4e811b2389563A97D43979221d17B1d54,10,249,2490,"[1921, 7193, 6424, 1478, 8136, 7960, 6679, 205, 3711, 7384]"
0xc1A3a5c69e2a76F80805F89A62F107F7a3f9C23A,10,249,2490,"[4691, 7159, 3555, 5289, 3027, 8880, 7313, 2012, 4922, 7921]"
0x77fD3c6d20B772C5564463C62507e4fd8a1a8514,10,249,2490,"[4719, 4023, 757, 7202, 1337, 6799, 7139, 7667, 6181, 5406]"
0x23f916b1ABed99706e35A27D29094944c86Bf4e2,10,249,2490,"[8466, 1737, 7864, 279, 3258, 7378, 2722, 7440, 7673, 7624]"
0xaC2eB83EfC3e151bC11e3DB87cB83eec54B97a76,10,249,2490,"[6998, 4116, 7856, 2791, 3462, 3665, 2291, 4013, 2718, 5399]"
0xA1dc36308c9A15Ae1637ca0999F7E83d6BCF2efB,10,249,2490,"[5056, 3024, 664, 2374, 4129]"
0x8615a997509084CffD61F57434d1466f8A9Fc3b8,10,249,2490,"[917, 1365, 250, 8142, 395, 7003, 1465, 5262, 5846, 4221]"
0x605c1a39779c10Ea3755585BBf76f7dE953721ED,10,249,2490,"[2249, 129, 3508, 762, 605, 120, 264, 8015, 4038, 5362]"
0xb2921ec8ad6e7976F0418a2aF7Ff7CD8AB66A761,10,249,2490,"[1125, 1239, 5787, 4158, 6977, 1013, 7913, 3402, 3129, 2620]"
